"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130"
"EWS.T1",0.2012,0.405,0.2346,0.0749,0.4171,0.2586,2.3136,0.49,0.294,3.2109,1.4797,0.6099,0.2613,0.1331,0.1197,0.952,0.9514,0.5617,0.9201,0.3267,0.1138,0.8212,0.9203,4.0651,0.1705,1.0646,0.6373,0.2644,1.4836,0.1799,0.4528,0.3608,0.3051,0.3774,2.5518,0.4046,3.4742,0.9877,0.9522,0.3077,0.0759,1.2601,0.1423,0.7978,0.9168,1.3734,0.6368,2.7916,0.5175,0.1792,0.1516,1.9088,0.4018,0.4798,1.2723,2.8092,0.7123,0.8869,0.1473,0.0618,0.2393,3.6298,0.309,0.9116,2.4609,0.1725,2.8278,0.1297,2.0922,0.9912,0.8518,0.4929,1.1716,0.1225,0.5218,0.4324,0.5331,0.4,0.3564,0.5666,0.2013,0.7331,0.2391,0.8344,3.4624,3.7974,0.3711,0.5634,0.1213,1.1632,0.4797,0.1829,0.1064,1.0258,0.2353,0.83,0.0564,0.1262,1.4245,1.094,0.416,1.6679,0.8748,0.0881,0.55,0.4147,0.2151,0.7922,0.5752,0.2991,0.086,0.1638,0.3098,0.2069,4.0416,0.2345,0.3408,0.4964,0.6507,0.3109,2.9653,0.824,3.9433,0.2869,0.2537,0.6295,0.3863,0.1831,0.1844,4.0134
"EWS.T2",0.2845,0.3516,0.3733,0.0874,0.7674,0.1433,1.4648,0.5916,0.3585,0.5356,2.6196,0.347,0.1979,0.2525,0.0933,0.725,0.5862,0.6172,0.7875,0.4095,0.2039,1.1187,0.8436,4.7284,0.1541,0.9492,0.2957,0.3438,1.1465,0.487,0.168,0.1938,0.2079,0.6361,2.4179,1.2873,2.9787,2.2909,0.7716,0.3146,0.2375,1.6687,0.1588,0.9342,1.6283,1.0902,1.072,2.9033,0.2104,0.1192,0.2042,0.7781,0.5109,0.5292,0.8432,5.2223,1.188,0.562,0.3122,0.6219,0.2649,2.9011,0.1718,0.5872,2.2076,0.3799,1.7705,0.1199,2.425,2.4052,0.4868,1.2471,1.0746,0.1071,1.0363,0.5067,2.1597,0.2286,0.7025,0.4469,0.1619,0.4976,0.5549,1.33,0.9099,2.0848,0.4647,0.3357,0.0847,0.8454,0.4638,0.1265,0.0677,0.9636,0.1856,0.8167,0.1132,0.1717,2.0306,0.8698,0.6563,2.9884,2.1933,0.1052,0.416,0.2785,0.2423,1.0275,0.4646,0.2054,0.1757,1.2413,0.3648,0.2619,5.5381,0.1987,0.4758,0.4959,0.084,0.6175,2.3953,0.9112,4.4723,0.4643,1.0198,0.5987,0.6338,0.9324,0.2833,2.3451
"EWS.T3",0.2842,0.2223,0.3678,0.1722,0.6715,0.3611,1.4345,0.483,0.8738,0.5314,2.5617,0.3479,0.2368,0.2184,0.169,0.8154,0.646,0.7052,0.9048,0.4201,0.1744,0.9908,0.8773,4.712,0.2359,0.9708,0.3522,0.4002,0.955,0.3314,0.2556,0.5976,0.3752,0.4743,2.1209,1.3759,2.4409,1.4098,1.5708,0.2125,0.2432,1.1577,0.2088,1.539,1.6226,1.1473,0.6339,1.8425,0.1668,0.1661,0.1054,0.6506,0.2865,0.5762,0.5333,3.1115,0.4548,0.795,0.285,0.3627,0.2916,2.954,0.3003,0.416,3.368,0.1848,3.1012,0.1075,2.6828,1.236,0.3941,1.1464,1.0838,0.1639,0.2727,0.3134,0.6278,0.5205,0.2394,0.549,0.1394,0.9748,0.4437,0.7543,3.0273,2.5333,0.4283,0.26,0.163,0.7596,0.3063,0.3741,0.1408,1.3675,0.2187,0.6292,0.1187,0.2145,2.3393,0.7863,0.5589,2.5427,1.0639,0.1812,0.4549,0.2982,0.3112,0.5982,0.5121,0.206,0.1148,0.5944,0.3268,0.2079,5.0753,0.1892,0.362,0.607,0.1838,0.3248,0.7713,0.3791,2.0101,0.3192,1.074,0.6311,0.3197,0.2683,0.2713,4.1262
"EWS.T4",0.2118,0.4948,0.2417,2.1712,0.2794,0.2178,0.3965,0.1945,1.0699,2.1751,0.5219,0.2031,0.3737,0.4405,0.3227,0.9017,0.5633,1.4393,1.4082,0.497,0.1924,0.2988,0.3487,9.4802,0.1267,1.3658,0.3963,0.3118,0.5004,0.8533,0.9321,1.9991,0.1526,0.7268,0.5897,0.3551,3.3017,2.1626,0.0879,0.0707,0.4408,0.784,0.1534,1.0009,1.6934,0.4161,0.1921,0.3848,0.1254,0.2205,0.1686,1.6334,0.5025,1.2305,0.7463,1.9079,0.3343,0.3158,0.1982,4.9498,0.2799,1.0982,0.3126,0.5484,1.9122,0.3994,0.4846,0.6866,0.3941,3.3648,1.5569,0.6006,4.7681,0.2634,0.6973,0.2667,1.6575,0.1346,0.3991,2.0286,0.2517,0.8061,0.3046,0.4432,2.537,2.2445,0.3216,1.5886,0.1485,0.5532,1.1096,0.2172,0.0859,0.7213,0.2232,0.1707,0.2006,0.3043,1.5462,0.8921,0.3437,2.1233,1.9688,0.3453,0.5229,0.5336,0.1954,0.8528,0.2998,0.5581,0.1902,0.2769,0.6515,0.3701,6.7798,0.4008,0.9716,0.2547,0.3586,0.1131,1.6691,0.1961,4.3301,0.7217,0.754,0.1804,0.1897,0.6081,0.3253,5.1079
"EWS.T6",0.4948,1.0945,0.855,0.1756,0.2004,1.7506,2.1061,0.7004,0.507,2.8353,2.3,0.9962,0.7502,0.2535,0.1255,1.1674,1.5336,0.6162,0.5883,0.201,0.1453,0.5431,0.3717,3.6433,0.3172,1.2484,0.5149,0.4312,0.4855,0.3304,1.3885,2.1437,0.8173,0.5125,2.545,0.6285,2.1392,0.5043,1.829,0.2505,0.4016,1.953,0.4088,0.718,0.6367,1.191,1.4697,1.8301,0.216,0.521,0.1441,0.8442,0.3253,0.3879,0.4992,2.0581,0.5977,0.6978,0.1435,0.4914,0.2365,1.8253,0.6884,0.6137,0.8545,0.2591,2.2626,1.2406,1.0694,1.1753,0.2338,0.2829,1.3366,1.2973,0.6647,0.572,0.6671,1.0492,0.627,0.4881,0.3298,0.5611,0.2922,1.4636,2.0915,1.8241,0.1353,0.9796,0.1909,0.9816,0.9821,0.4953,0.4833,0.8761,0.1676,0.3326,1.6838,0.0513,1.1339,0.3425,0.3238,2.1535,0.7723,0.2197,0.5118,0.3906,0.3141,0.3124,0.2031,0.3242,0.2746,1.5028,0.4455,0.4317,4.5705,0.3318,0.4327,0.9249,0.3173,0.4431,5.0489,0.7654,3.3461,0.5506,0.7351,0.9005,0.2734,0.2854,0.2585,3.9941
"EWS.T7",0.5933,0.4084,0.6116,0.2428,0.4804,2.5079,1.4034,0.4976,0.3888,2.471,4.1977,0.5696,0.3238,0.3089,0.2884,0.5244,0.8445,1.018,1.3355,0.3453,0.084,1.0973,0.4646,4.4317,1.1875,1.325,0.552,0.347,0.447,0.292,2.3132,1.6152,0.8154,0.4408,3.8302,0.6646,3.5077,0.887,1.5725,0.4738,0.4249,1.6133,0.2603,1.7479,1.9489,1.103,1.7644,2.2618,0.3075,0.3575,0.2671,1.1111,0.3654,0.4163,0.5278,1.1751,0.9067,0.9987,0.2151,0.2692,0.2333,5.1926,0.7723,0.5214,0.8953,0.411,2.3532,0.5677,2.3013,1.1379,0.1992,0.6438,1.0361,1.3216,0.8741,0.6186,0.4715,1.0617,0.3937,0.4318,0.3301,0.6002,0.4213,1.3623,4.5931,3.3781,0.2375,0.5535,0.3708,0.8238,1.2832,0.9973,0.4982,1.3061,0.3256,0.594,0.9739,0.1899,1.6894,0.711,0.3646,1.9601,1.0755,0.2154,0.6068,0.3518,0.3065,0.8423,0.9869,0.7396,0.1328,0.4395,0.4058,0.3236,4.0174,0.2469,0.3488,0.4379,0.9717,0.572,5.6387,0.9961,5.0741,0.4577,0.475,0.4087,0.3454,0.3732,0.2248,3.4064
"EWS.T9",0.5335,0.4597,0.4936,0.2773,0.6829,1.4402,2.0521,0.3574,0.5489,1.922,1.8697,0.7972,0.4174,0.4472,0.4708,0.4271,0.3936,0.3668,0.4046,0.4476,0.3654,0.3691,0.5135,3.7162,0.6835,1.1648,0.4317,0.5283,0.343,0.4818,1.3306,0.7244,0.4611,0.3391,1.7995,0.8607,4.1323,0.8105,0.4774,0.4551,0.2374,1.7163,0.517,1.5588,1.8979,0.619,0.8377,2.9926,0.4207,0.6542,0.4373,0.9096,0.4934,0.7074,0.4977,1.6839,0.9046,0.5641,0.3532,0.2968,0.3858,5.0563,0.6929,0.3562,0.8907,0.3427,3.1344,0.5328,2.0873,1.2185,0.4074,0.3052,0.7257,1.0642,0.6927,0.6509,0.6062,0.4839,0.369,0.4536,0.2666,0.5107,0.6322,0.7091,3.06,1.7393,0.2327,0.6273,0.3619,1.1451,1.235,0.4856,0.8068,1.0254,0.336,0.9578,1.486,0.4616,2.598,1.3409,0.5757,3.1885,0.4415,0.368,0.5677,0.439,0.5028,0.4611,0.3222,0.3282,0.4039,0.4702,0.7795,0.2697,1.7546,0.1658,0.5604,0.3681,1.006,0.5746,4.069,0.589,6.4894,0.6279,0.6784,0.6876,0.3844,0.4885,0.4035,2.6916
"EWS.T11",0.3173,0.2706,0.4087,0.3619,0.3276,1.1551,2.9059,0.2641,0.5005,5.1115,3.3171,1.0523,0.3239,0.3387,0.4352,0.8402,0.9855,0.6945,0.5764,0.4949,0.2071,1.6798,0.508,5.4842,0.37,1.2702,1.377,0.501,0.4869,0.2499,2.3626,0.9498,0.4205,1.6597,2.7679,0.4726,2.217,0.9827,1.0679,0.4274,0.1717,0.5461,0.1749,1.6318,1.3597,0.7175,1.3819,3.5139,0.2205,0.5611,0.189,0.7743,0.4165,0.4882,0.6098,2.2628,1.0674,0.6269,0.268,0.2905,0.2844,5.2172,0.9294,0.3541,0.6885,0.363,1.4507,0.4209,1.3933,1.2423,0.2738,0.7546,1.0932,0.8429,0.3463,0.3221,0.4802,0.5427,0.4601,0.1805,0.1996,0.5208,0.2955,1.4744,4.5397,2.2411,0.2407,0.4989,0.1971,1.0764,0.4881,0.4278,0.8379,1.0136,0.6342,0.9899,0.8022,0.4198,1.3076,0.6971,0.3714,3.5232,0.7747,0.1826,0.6328,0.2475,0.4778,0.5351,0.52,0.3735,0.2217,0.5391,0.3409,0.2137,3.1754,0.3558,0.3872,0.2623,0.5255,0.3296,4.7007,0.2356,5.1036,0.4346,1.176,0.555,0.2793,0.5303,0.3533,2.3477
"EWS.T12",0.3443,0.4955,0.7888,0.2505,0.2298,0.9388,3.6517,0.2324,0.9941,5.7111,2.5088,0.5496,0.2281,0.3454,0.1465,1.0384,1.3495,0.8709,0.4825,0.1909,0.0772,1.3472,0.6706,4.8613,0.1365,1.2311,0.7863,0.4531,0.3238,0.2521,2.044,0.6675,0.5294,0.3556,3.8862,0.3953,2.3521,0.7271,1.525,0.325,0.1265,0.7469,0.0976,1.8028,2.3401,0.8173,1.4857,4.8571,0.134,0.5246,0.1595,1.6879,0.3425,0.4308,0.5335,1.9194,0.8174,0.3316,0.1773,0.2111,0.1502,4.6417,0.9253,0.3666,0.5795,0.2279,1.6677,0.2341,1.5833,1.1494,0.0978,0.5567,1.433,0.8482,0.2448,0.3486,0.6216,0.5204,0.647,0.1387,0.175,0.3655,0.1596,1.835,4.6607,1.7389,0.1899,0.3883,0.1442,1.2718,0.6091,0.1179,0.4767,0.6925,0.3717,0.6733,0.7647,0.2739,1.2591,0.6801,0.3485,2.4477,1.2992,0.1653,0.3667,0.1981,0.4412,0.4658,0.3268,0.2482,0.1402,0.1542,0.4277,0.1951,3.2994,0.3728,0.3292,0.1808,0.4778,0.2182,8.2508,0.3411,8.0304,0.3162,1.0694,0.3603,0.1439,0.1999,0.1493,3.6247
"EWS.T13",0.5522,0.3507,0.6773,0.3248,0.4228,2.8685,1.3226,0.5722,0.5796,4.475,1.2457,0.6216,0.2326,0.3201,0.1536,2.0772,0.7855,0.4566,0.3235,0.2588,0.1117,0.4781,0.2272,2.907,1.5103,1.1425,0.7903,0.2485,0.2673,0.25,2.1551,1.3953,0.3809,0.2121,1.7843,0.4659,1.8964,0.3987,0.8203,0.3481,0.1653,0.9303,0.2202,1.4455,0.9441,1.1499,1.3636,1.3013,0.3027,1.0177,0.097,0.9995,0.3468,0.3012,0.4622,2.3403,0.8079,0.4608,0.1437,0.2017,0.1977,3.0533,0.8454,0.3368,1.0492,0.1528,3.9261,0.5964,1.8526,0.3549,0.1478,0.264,0.6765,1.2479,0.4575,0.4004,0.5427,0.2446,0.3886,0.458,0.1845,0.3545,0.4448,2.0706,4.4143,1.5324,0.1064,0.385,0.3899,1.565,0.5428,0.3586,1.121,0.7378,0.2305,0.4175,0.8281,0.2457,1.6947,0.3894,0.2638,0.8037,0.31,0.1682,0.5771,0.2256,0.7637,0.2074,2.8694,0.2786,0.4107,1.5768,0.3814,0.2086,1.6202,0.1434,0.8943,0.4885,1.5378,0.2686,6.6968,0.4818,5.334,0.2728,0.698,0.3673,1.4037,0.2173,0.2142,2.5821
